item,total_sales
15,1607442.0
28,1604713.0
13,1539621.0
18,1538876.0
25,1473334.0
45,1471467.0
38,1470330.0
22,1469971.0
36,1406548.0
8,1405108.0
10,1337133.0
11,1271925.0
12,1271534.0
29,1271240.0
33,1270183.0
24,1205975.0
50,1203009.0
35,1201541.0
14,1071531.0
31,1070845.0
46,1070764.0
2,1069564.0
7,1068777.0
6,1068281.0
9,938379.0
48,937703.0
43,936635.0
26,869981.0
20,867641.0
32,803107.0
39,801311.0
19,736892.0
30,736554.0
21,736190.0
42,669925.0
3,669087.0
17,602486.0
44,536811.0
49,535663.0
23,534979.0
37,534258.0
40,534094.0
34,469935.0
16,468480.0
27,402628.0
4,401907.0
47,401781.0
41,401759.0
1,401384.0
5,335230.0
